signal_id,observed_at,source_id,signal_type,value,confidence,player_id,team_id,fixture_id,gameweek,valid_from,expires_at,status,source_url,note
odds-api-match_win_probability-eb2553d10d63dc912b99f8fd0d675721-1-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.803604,1.0,,1,1,1,2026-07-23T14:37:19+00:00,2026-08-21T23:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-ea0bacc4c23f813c6af97ec9b306a850-14-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,team_score_probability,0.841205,1.0,,14,9,1,2026-07-24T19:50:59+00:00,2026-08-23T19:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-ea0bacc4c23f813c6af97ec9b306a850-17-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,clean_sheet_probability,0.158795,1.0,,17,9,1,2026-07-24T19:50:59+00:00,2026-08-23T19:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-ea0bacc4c23f813c6af97ec9b306a850-14-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,clean_sheet_probability,0.193017,1.0,,14,9,1,2026-07-24T19:50:59+00:00,2026-08-23T19:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-ea0bacc4c23f813c6af97ec9b306a850-17-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,team_expected_goals,1.644976,1.0,,17,9,1,2026-07-24T19:50:59+00:00,2026-08-23T19:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-ea0bacc4c23f813c6af97ec9b306a850-14-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,team_expected_goals,1.840143,1.0,,14,9,1,2026-07-24T19:50:59+00:00,2026-08-23T19:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-4e4a813bf4218cc527e6f8ef2351170d-10-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,match_win_probability,0.308522,1.0,,10,10,1,2026-07-24T19:50:59+00:00,2026-08-24T23:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 19 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-4e4a813bf4218cc527e6f8ef2351170d-6-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,match_win_probability,0.433858,1.0,,6,10,1,2026-07-24T19:50:59+00:00,2026-08-24T23:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 19 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-4e4a813bf4218cc527e6f8ef2351170d-10-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,team_score_probability,0.74959,1.0,,10,10,1,2026-07-24T19:50:59+00:00,2026-08-24T23:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 19 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-4e4a813bf4218cc527e6f8ef2351170d-6-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,team_score_probability,0.810856,1.0,,6,10,1,2026-07-24T19:50:59+00:00,2026-08-24T23:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 19 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-4e4a813bf4218cc527e6f8ef2351170d-10-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,clean_sheet_probability,0.189144,1.0,,10,10,1,2026-07-24T19:50:59+00:00,2026-08-24T23:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 19 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-4e4a813bf4218cc527e6f8ef2351170d-6-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,clean_sheet_probability,0.25041,1.0,,6,10,1,2026-07-24T19:50:59+00:00,2026-08-24T23:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 19 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-4e4a813bf4218cc527e6f8ef2351170d-10-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,team_expected_goals,1.384654,1.0,,10,10,1,2026-07-24T19:50:59+00:00,2026-08-24T23:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 19 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-4e4a813bf4218cc527e6f8ef2351170d-6-20260724T195059Z,2026-07-24T19:50:59+00:00,odds_api_market,team_expected_goals,1.665244,1.0,,6,10,1,2026-07-24T19:50:59+00:00,2026-08-24T23:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 19 UK bookmaker(s); goal total from bookmaker_totals.
